created_at,entry_id,Temperature,RH,PM2.5,PM10
2025-01-01 18:06:35 +0530,153,,,56.1,116.9
2025-01-01 18:06:58 +0530,154,,,55.6,116.1
2025-01-01 18:07:20 +0530,155,,,56.3,111.7
2025-01-01 18:07:43 +0530,156,,,55.2,113.7
2025-01-01 18:08:06 +0530,157,,,55.0,109.9
2025-01-01 18:08:29 +0530,158,,,55.0,110.0
2025-01-01 18:08:52 +0530,159,,,54.1,108.3
2025-01-01 18:09:14 +0530,160,,,55.1,109.3
2025-01-01 18:09:36 +0530,161,,,54.5,103.2
2025-01-01 18:09:59 +0530,162,,,54.6,108.5
2025-01-01 18:10:22 +0530,163,,,54.7,117.9
2025-01-01 18:10:45 +0530,164,,,55.7,111.5
2025-01-01 18:11:07 +0530,165,,,53.9,106.3
2025-01-01 18:11:29 +0530,166,,,54.8,107.2
2025-01-01 18:11:52 +0530,167,,,55.4,111.7
2025-01-01 18:12:14 +0530,168,,,54.2,114.3
2025-01-01 18:12:37 +0530,169,,,55.7,114.7
2025-01-01 18:12:59 +0530,170,,,55.4,105.2
2025-01-01 18:13:22 +0530,171,,,56.3,110.5
2025-01-01 18:13:44 +0530,172,,,55.9,113.1
2025-01-01 18:14:07 +0530,173,,,56.2,111.8
2025-01-01 18:14:29 +0530,174,,,54.7,111.9
2025-01-01 18:14:52 +0530,175,,,54.1,107.3
2025-01-01 18:15:15 +0530,176,,,55.5,113.2
2025-01-01 18:15:37 +0530,177,,,56.2,110.7
2025-01-01 18:16:00 +0530,178,,,56.2,110.2
2025-01-01 18:16:22 +0530,179,,,53.7,109.8
2025-01-01 18:16:44 +0530,180,,,54.1,115.2
2025-01-01 18:17:07 +0530,181,,,54.5,103.7
2025-01-01 18:17:29 +0530,182,,,55.0,108.2
2025-01-01 18:17:52 +0530,183,,,54.6,109.0
2025-01-01 18:18:14 +0530,184,,,54.0,106.9
2025-01-01 18:18:37 +0530,185,,,53.1,105.1
2025-01-01 18:18:59 +0530,186,,,52.8,102.2
2025-01-01 18:19:22 +0530,187,,,55.1,110.3
2025-01-01 18:19:46 +0530,188,,,54.4,111.1
2025-01-01 18:20:08 +0530,189,,,54.7,111.0
2025-01-01 18:20:31 +0530,190,,,55.3,113.0
2025-01-01 18:20:53 +0530,191,,,54.3,105.2
2025-01-01 18:21:16 +0530,192,,,54.1,104.7
2025-01-01 18:21:38 +0530,193,,,55.7,108.0
2025-01-01 18:22:01 +0530,194,,,55.5,106.1
2025-01-01 18:22:23 +0530,195,,,53.9,101.1
2025-01-01 18:22:46 +0530,196,,,55.4,104.6
2025-01-01 18:23:08 +0530,197,,,56.1,106.8
2025-01-01 18:23:31 +0530,198,,,54.5,103.5
2025-01-01 18:23:54 +0530,199,,,53.7,100.2
2025-01-01 18:24:17 +0530,200,,,55.0,106.3
2025-01-01 18:24:39 +0530,201,,,54.6,104.7
2025-01-01 18:25:02 +0530,202,,,55.0,112.1
2025-01-01 18:25:24 +0530,203,,,56.1,110.2
2025-01-01 18:25:47 +0530,204,,,56.6,112.4
2025-01-01 18:26:09 +0530,205,,,55.6,110.3
2025-01-01 18:26:31 +0530,206,,,53.9,101.8
2025-01-01 18:26:54 +0530,207,,,54.7,102.6
2025-01-01 18:27:16 +0530,208,,,54.7,102.1
2025-01-01 18:27:39 +0530,209,,,54.8,101.5
2025-01-01 18:28:01 +0530,210,,,54.1,102.9
2025-01-01 18:28:24 +0530,211,,,54.1,101.7
2025-01-01 18:28:46 +0530,212,,,54.8,104.4
2025-01-01 18:29:09 +0530,213,,,56.3,105.5
2025-01-01 18:29:32 +0530,214,,,58.3,103.4
2025-01-01 18:29:54 +0530,215,,,55.8,107.5
2025-01-01 18:30:17 +0530,216,,,54.2,98.8
2025-01-01 18:30:39 +0530,217,,,54.6,97.4
2025-01-01 18:31:02 +0530,218,,,54.3,103.2
2025-01-01 18:31:25 +0530,219,,,54.7,102.5
2025-01-01 18:31:47 +0530,220,,,55.1,99.7
2025-01-01 18:32:10 +0530,221,,,55.0,103.9
2025-01-01 18:32:32 +0530,222,,,54.0,102.9
2025-01-01 18:32:55 +0530,223,,,55.2,103.4
2025-01-01 18:33:17 +0530,224,,,55.6,110.6
2025-01-01 18:33:40 +0530,225,,,55.3,106.1
2025-01-01 18:34:03 +0530,226,,,55.6,109.4
2025-01-01 18:34:25 +0530,227,,,55.4,104.4
2025-01-01 18:34:48 +0530,228,,,55.8,105.1
2025-01-01 18:35:10 +0530,229,,,55.5,99.6
2025-01-01 18:35:33 +0530,230,,,56.0,101.3
2025-01-01 18:35:55 +0530,231,,,55.7,101.2
2025-01-01 18:36:18 +0530,232,,,54.1,100.6
2025-01-01 18:36:40 +0530,233,,,54.5,103.9
2025-01-01 18:37:03 +0530,234,,,54.4,101.2
2025-01-01 18:37:25 +0530,235,,,54.9,103.3
2025-01-01 18:37:48 +0530,236,,,55.1,108.9
2025-01-01 18:38:10 +0530,237,,,55.1,111.2
2025-01-01 18:38:33 +0530,238,,,55.7,106.6
2025-01-01 18:38:56 +0530,239,,,53.9,98.5
2025-01-01 18:39:18 +0530,240,,,55.5,99.9
2025-01-01 18:39:41 +0530,241,,,54.8,98.2
2025-01-01 18:40:03 +0530,242,,,53.8,96.2
2025-01-01 18:40:26 +0530,243,,,55.1,100.8
2025-01-01 18:40:49 +0530,244,,,54.0,97.4
2025-01-01 18:41:11 +0530,245,,,55.1,102.1
2025-01-01 18:41:34 +0530,246,,,56.3,109.6
2025-01-01 18:41:56 +0530,247,,,55.0,102.0
2025-01-01 18:42:19 +0530,248,,,54.8,97.9
2025-01-01 18:42:41 +0530,249,,,54.8,93.4
2025-01-01 18:43:04 +0530,250,,,53.6,98.0
2025-01-01 18:43:26 +0530,251,,,55.4,92.6
2025-01-01 18:43:49 +0530,252,,,55.4,95.1
2025-01-01 18:44:12 +0530,253,,,55.4,101.6
2025-01-01 18:44:34 +0530,254,,,55.0,101.2
2025-01-01 18:44:57 +0530,255,,,53.4,98.1
2025-01-01 18:45:20 +0530,256,,,53.5,92.6
2025-01-01 18:45:42 +0530,257,,,55.6,96.2
2025-01-01 18:46:05 +0530,258,,,54.4,95.0
2025-01-01 18:46:27 +0530,259,,,56.2,96.0
2025-01-01 18:46:55 +0530,260,,,57.6,103.7
2025-01-01 18:47:17 +0530,261,,,55.8,96.9
2025-01-01 18:47:40 +0530,262,,,55.8,104.7
2025-01-01 18:48:04 +0530,263,,,55.2,104.7
2025-01-01 18:48:26 +0530,264,,,54.3,100.1
2025-01-01 18:48:49 +0530,265,,,53.3,98.4
2025-01-01 18:49:11 +0530,266,,,54.3,98.8
2025-01-01 18:49:34 +0530,267,,,54.0,94.8
2025-01-01 18:49:56 +0530,268,,,54.8,91.3
2025-01-01 18:50:19 +0530,269,,,54.9,95.4
2025-01-01 18:50:41 +0530,270,,,53.7,92.8
2025-01-01 18:51:04 +0530,271,,,55.4,98.3
2025-01-01 18:51:27 +0530,272,,,54.1,92.9
2025-01-01 18:51:53 +0530,273,,,54.3,99.5
2025-01-01 18:52:15 +0530,274,,,55.2,99.8
2025-01-01 18:52:38 +0530,275,,,53.5,97.3
2025-01-01 18:53:01 +0530,276,,,54.6,97.8
2025-01-01 18:53:24 +0530,277,,,55.2,94.2
2025-01-01 18:53:47 +0530,278,,,54.2,94.1
2025-01-01 18:54:09 +0530,279,,,54.8,97.1
2025-01-01 18:54:32 +0530,280,,,55.7,97.2
2025-01-01 18:54:55 +0530,281,,,55.5,97.0
2025-01-01 18:55:17 +0530,282,,,54.2,93.1
2025-01-01 18:55:40 +0530,283,,,54.9,98.9
2025-01-01 18:56:03 +0530,284,,,54.5,94.4
2025-01-01 18:56:25 +0530,285,,,54.4,95.1
2025-01-01 18:56:48 +0530,286,,,53.7,99.0
2025-01-01 18:57:11 +0530,287,,,54.4,92.2
2025-01-01 18:57:33 +0530,288,,,55.0,94.3
2025-01-01 18:57:56 +0530,289,,,54.8,95.5
2025-01-01 18:58:18 +0530,290,,,54.0,94.9
2025-01-01 18:58:41 +0530,291,,,53.7,92.6
2025-01-01 18:59:04 +0530,292,,,54.2,97.7
2025-01-01 18:59:26 +0530,293,,,53.7,91.0
2025-01-01 18:59:49 +0530,294,,,53.4,94.4
2025-01-01 19:00:11 +0530,295,,,53.7,88.8
2025-01-01 19:00:34 +0530,296,,,54.3,91.4
2025-01-01 19:00:56 +0530,297,,,54.9,91.3
2025-01-01 19:01:19 +0530,298,,,53.9,91.1
2025-01-01 19:01:41 +0530,299,,,52.9,92.3
2025-01-01 19:02:05 +0530,300,,,52.9,98.2
2025-01-01 19:02:27 +0530,301,,,54.0,95.4
2025-01-01 19:02:50 +0530,302,,,54.4,96.0
2025-01-01 19:03:14 +0530,303,,,54.0,94.9
2025-01-01 19:03:37 +0530,304,,,55.0,92.6
2025-01-01 19:03:59 +0530,305,,,54.0,88.7
2025-01-01 19:04:21 +0530,306,,,53.3,96.2
2025-01-01 19:04:44 +0530,307,,,53.4,93.7
2025-01-01 19:05:07 +0530,308,,,53.2,95.3
